source,contest,severity,title,description_excerpt,pattern_matched
Code4rena,Gondi 2024-04,High,Merging tranches accounting error,"Permissionless mergeTranches() changes loanId causing _loanTermination() to misidentify which withdrawal queue receives repayment funds",balance+manipulation
Code4rena,Gondi 2024-04,High,Division before multiplication loss,"Precision loss in _getAvailable() calculation could cause users to lose ~50% of withdrawable assets due to order of operations",decimal+precision
Code4rena,Gondi 2024-04,High,Uncontrolled distribute() function,"Missing access control on distribute() allows attackers to spam Pool accounting with arbitrary token data",access+control
Code4rena,Gondi 2024-04,High,Missing tokenId validation,"refinanceFromLoanExecutionData() doesn't verify new execution data uses same NFT collateral as original loan",cross-contract+interaction
Code4rena,Gondi 2024-04,High,triggerFee stolen from pool balance,"settleWithBuyout() pays trigger fee from contract balance instead of buyer stealing funds from concurrent auctions",liquidation+auction
Code4rena,Gondi 2024-04,High,Missing loanLiquidation() call,"settleWithBuyout() fails to call Pool's loanLiquidation() causing incorrect queue accounting",liquidation+auction
Code4rena,Gondi 2024-04,High,Stale queue accounting data,"deployWithdrawalQueue() doesn't clear _queueAccounting[lastQueueIndex] leaving corrupted data for distribution",balance+manipulation
Code4rena,Gondi 2024-04,High,Incorrect circular array break condition,"Wrong loop termination in _updatePendingWithdrawalWithQueue() causes funds routed to incorrect queues",balance+manipulation
Code4rena,Gondi 2024-04,High,Missing accumulation in pending withdrawal,"Assignment instead of addition causes previous queue distributions to be erased losing funds",balance+manipulation
Code4rena,Gondi 2024-04,High,Front-running repayment via loanId change,"Attackers can call mergeTranches() to invalidate pending repayLoan() calls preventing debt repayment",frontrun+MEV
Code4rena,Gondi 2024-04,High,Hardcoded zero protocol fee,"_handleLoanManagerCall() passes 0 instead of actual protocol fee inflating outstanding value accounting",balance+manipulation
Code4rena,Gondi 2024-04,High,Unauthorized tranche addition,"addNewTranche() lacks borrower authorization allowing any lender to add high-APR tranches maliciously",access+control
Code4rena,Gondi 2024-04,High,Missing duration validation,"_processOffersFromExecutionData() doesn't enforce execution duration <= offer duration breaking loan term constraints",access+control
Code4rena,Gondi 2024-04,High,Reentrancy in tranche operations,"mergeTranches() and refinancePartial() lack reentrancy protection enabling NFT double-use exploits",reentrancy+callback
Code4rena,Gondi 2024-04,High,Expiration check boundary error,"Using less-than instead of less-than-or-equal allows simultaneous liquidation and modification at exact expiry",timestamp+manipulation
Code4rena,Gondi 2024-04,High,Exchange rate manipulation via callback,"validateOffer() updates outstanding values before fund transfer allowing validators to exploit inflated exchange rate",reentrancy+callback
Code4rena,Gondi 2024-04,High,Signature reuse across functions,"Same signature works for both refinanceFull() and addNewTranche() enabling front-run attacks to double borrowing",EIP-1271+signature
Code4rena,Gondi 2024-04,Medium,Max tranches cap exceeded,"Missing checks in emitLoan() refinancePartial() and refinanceFromLoanExecutionData() allow tranche limits to be bypassed",access+control
Code4rena,Gondi 2024-04,Medium,Collateral hijacking,"refinanceFromLoanExecutionData() allows different borrower to initiate refinance using existing borrower's NFT collateral",access+control
Code4rena,Gondi 2024-04,Medium,Wrong protocol fee in addNewTranche,"Uses current protocol fee instead of original loan's fee misaccounting interest",balance+manipulation
Code4rena,Gondi 2024-04,Medium,Offer validation fails with undeployed assets,"validateOffer() doesn't correctly handle principal exceeding current balance scenario",balance+manipulation
Code4rena,Gondi 2024-04,Medium,Collected fees never transferred,"Protocol fees accumulate in Pool but lack withdrawal mechanism permanently locking funds",balance+manipulation
Code4rena,Gondi 2024-04,Medium,Unauthorized term removal,"setTerms() lacks access control allowing anyone to remove lender's term offers without queuing",access+control
Code4rena,Gondi 2024-04,Medium,Empty terms front-run attack,"Attacker can front-run and pass empty terms array making confirmTerms() impossible",frontrun+MEV
Code4rena,Gondi 2024-04,Medium,Borrower signature reusable,"emitLoan() doesn't prevent reusing borrower signature across multiple loan executions",EIP-1271+signature
Code4rena,Gondi 2024-04,Medium,Inconsistent undeployed assets tracking,"Accounting inconsistency in undeployed assets affects pool's optimal liquidity range calculations",balance+manipulation
Code4rena,Gondi 2024-04,Medium,Insufficient liquidator validation,"Insufficient checks allow unauthorized parties to validate offers claiming liquidator role",access+control
Code4rena,Gondi 2024-04,Medium,placeBid() denial of service,"AuctionLoanLiquidator#placeBid vulnerable to DOS attacks disrupting auction process",liquidation+auction
Code4rena,Gondi 2024-04,Medium,Insufficient queue timing calculation,"getMinTimeBetweenWithdrawalQueues calculation may allow queue deployment before sufficient time elapses",timestamp+manipulation
Code4rena,Gondi 2024-04,Medium,Expensive allocator reallocation bonus,"Changing BaseInterestAllocator triggers large getReallocationBonus payments",balance+manipulation
Code4rena,Gondi 2024-04,Medium,Inaccurate liquidation interest,"loanLiquidation() interest calculation doesn't properly account for accrual timing",liquidation+auction
Code4rena,Gondi 2024-04,Medium,Missing reallocation after underwriter change,"Changing underwriter requires recalculating getMinTimeBetweenWithdrawalQueues",cross-contract+interaction
Code4rena,Gondi 2024-04,Medium,Wrong end time breaks senior repayment,"distribute() uses incorrect timestamp for interest calculation violating maxSeniorRepayment constraints",timestamp+manipulation
Code4rena,Gondi 2024-04,Medium,Missing protocol fee in loan hash,"loan.hash() omits protocol fee allowing signature reuse across different fee scenarios",EIP-1271+signature
Code4rena,Gondi 2024-04,Medium,Missing LoanManager notification,"Partial repayments fail to notify LoanManager when all lenders aren't fully repaid",cross-contract+interaction
Code4rena,Gondi 2024-04,Medium,Race condition fund loss,"settleWithBuyout and placeBid racing condition can cause bidders to lose funds",frontrun+MEV
Code4rena,Gondi 2024-04,Medium,Hardcoded incorrect Lido timestamp,"Hardcoded Lido oracle data produces incorrect base rate allowing loans with artificially low rates",oracle+staleness
Code4rena,NextGen 2025-01,High,Cross-chain Signature Replay Attack,"User-supplied domainSeparator parameter allows signatures to be replayed across different blockchains and missing deadline check permits indefinite signature validity",EIP-1271+signature
Code4rena,NextGen 2025-01,Medium,ERC-20 Allowance Bypass via Transaction Fees,"Spender can force sender to pay extra fees beyond approved amount because fee deduction occurs outside allowance validation in transferFrom",approval+drain
Code4rena,NextGen 2025-01,Medium,Missing Blacklist Validation in Approve Operations,"Approve operation is not overridden to call transferSanity violating documented protocol invariant that neither owner nor spender should be blacklisted",token+integration
