source,contest,severity,title,description_excerpt,pattern_matched
Sherlock,MagicSea (2024-06),High,Malicious user can manipulate reward calculations preventing other users from receiving correct rewards,"BribeRewarder reward manipulation allows attacker to skew reward distribution by exploiting deposit timing, preventing legitimate users from receiving proportional rewards.",price_manipulation
Sherlock,MagicSea (2024-06),High,User receives 0 rewards for periods participated in due to wrong _calculateRewards calculation,"Incorrect reward calculation in _calculateRewards returns 0 for users who participated in voting periods, causing complete loss of earned rewards.",accounting_error
Sherlock,MagicSea (2024-06),High,BribeRewarder allows reward manipulation by malicious users,"Malicious users can manipulate BribeRewarder by exploiting deposit/withdraw timing to steal rewards intended for other participants.",reward_manipulation
Sherlock,MagicSea (2024-06),High,Users cannot claim their bribe rewards due to incorrect claim logic,"BribeRewards claim function has incorrect looping logic preventing users from claiming earned rewards, causing permanent fund loss.",claim_logic_error
Sherlock,MagicSea (2024-06),High,Missing remaining lock time check allows users double voting at end of locking period,"Voter contract fails to check remaining lock time for lsNFT positions, allowing users to vote multiple times by exploiting expiring lock positions.",double_voting
Sherlock,MagicSea (2024-06),High,Incorrect lockDuration used instead of remaining time in Voter.vote(),"BribeRewarder uses lockDuration (original lock time) instead of remaining lock time, allowing expired positions to participate in voting.",access_control
Sherlock,MagicSea (2024-06),High,Improper msg.sender check in BribeRewarder._modify() function,"Wrong msg.sender validation in _modify allows unauthorized users to manipulate deposits and rewards in the BribeRewarder contract.",access_control
Sherlock,MagicSea (2024-06),High,Pending rewards not processed when BribeRewarder.Deposit() is called,"Missing reward accrual before deposit causes incorrect reward distribution, as pending rewards are not settled before modifying user balances.",accounting_error
Sherlock,MagicSea (2024-06),High,Funds can get stuck on BribeRewarder contract with no sweep mechanism,"BribeRewarder has no mechanism to recover stuck funds, and incorrect reward calculations can leave tokens permanently locked in the contract.",stuck_funds
Sherlock,MagicSea (2024-06),High,Incorrect check of ownerOf for tokenId during voting allows unauthorized voting,"Voting contract uses incorrect ownership check for tokenId, allowing non-owners to cast votes using others' staked positions.",access_control
Sherlock,New Scope (2024-06),High,Incorrect calculation of assets in getSupplyBalance() and getDebtBalance(),"PositionBalanceConfiguration.sol calculates supply and debt balances incorrectly, leading to wrong collateral/debt valuations system-wide.",accounting_error
Sherlock,New Scope (2024-06),High,executeLiquidationCall utilizes wrong debt and collateral balance disrupting liquidation,"Liquidation logic uses share amounts instead of asset amounts, causing incorrect liquidation amounts and potential bad debt accumulation.",liquidation
Sherlock,New Scope (2024-06),High,Attacker may manipulate borrow interest rates of the protocol,"Interest rate manipulation through strategic borrowing/repaying allows attacker to artificially inflate rates, harming existing borrowers.",interest_rate_manipulation
Sherlock,New Scope (2024-06),High,Incorrect deduction of accruedToTreasuryShares from totalSupply causing loss of shares,"Treasury share accounting error causes incorrect totalSupply tracking, leading to share dilution and fund loss for depositors.",accounting_error
Sherlock,New Scope (2024-06),High,_repayDebtTokens wrongly sets nextDebtShares leading to false liquidityRate and borrowRate,"Incorrect debt share update during repayment causes cascading errors in interest rate calculations affecting all protocol users.",interest_rate_manipulation
Sherlock,New Scope (2024-06),High,Missing a conversion step from shares to assets in executeLiquidationCall,"Liquidation function fails to convert shares to assets, causing liquidators to seize incorrect collateral amounts.",liquidation
Sherlock,New Scope (2024-06),High,Missing fee shares update to totalSupplies causes inconsistent state,"Fee shares not properly added to totalSupplies.supplyShares creates accounting inconsistency that compounds over time.",accounting_error
Sherlock,New Scope (2024-06),High,Incorrect accounting when executing mint to treasury in withdrawals,"Treasury minting during withdrawal uses stale values, causing incorrect share distribution and potential insolvency.",accounting_error
Sherlock,New Scope (2024-06),High,actualDebtToLiquidate incorrectly calculated by assigning share amount instead of underlying assets,"Liquidation debt calculation uses raw share counts rather than converted asset values, leading to under/over-liquidation.",liquidation
Sherlock,New Scope (2024-06),High,Lender who deposits after interest rate increase cannot withdraw whole balance,"Interest rate accrual bug prevents late depositors from withdrawing full balance, effectively locking a portion of their funds.",stuck_funds
Sherlock,Velar Artha PerpDEX (2024-08),High,User can sandwich their own position close to recoup all position fees,"Traders can front-run their own position closure with a mint, then back-run with a burn, recovering all accumulated fees from the position.",sandwich
Sherlock,Velar Artha PerpDEX (2024-08),High,Fee precision loss disrupts liquidations and causes loss of funds,"Fee calculation precision errors in the PerpDEX cause liquidation transactions to revert or execute incorrectly, leaving bad debt.",liquidation
Sherlock,Velar Artha PerpDEX (2024-08),High,Traders may decrease their trading loss via mint/burn,"Traders exploit mint/burn mechanics to artificially reduce their trading losses by diluting the fee pool before closing positions.",price_manipulation
Sherlock,Velar Artha PerpDEX (2024-08),High,The api.burn function should have cool down period,"Missing cooldown on burn allows atomic mint-trade-burn exploits where users can manipulate LP share value within a single transaction.",flash_loan
Sherlock,Sentiment V2 (2024-08),High,User can seize more assets during liquidation by using type(uint).max,"Liquidators bypass collateral seizure limits by passing type(uint).max as repayment amount, replaying the repayment to seize excess collateral.",liquidation
Sherlock,Sentiment V2 (2024-08),High,Attacker could update RedstoneOracle price to older one to liquidate positions,"Oracle price can be set backwards in time using stale Redstone data, enabling attackers to trigger unfair liquidations at manipulated prices.",oracle
Sherlock,Sentiment V2 (2024-08),High,Red Stone Oracle can time travel - atomic manipulation between different prices,"RedstoneCoreOracle can be atomically manipulated back and forth between different historical prices within the same block, enabling oracle arbitrage.",oracle
Sherlock,Sentiment V2 (2024-08),High,Liquidator can seize all collateral assets from all liquidatable positions,"Liquidator bypasses _validateSeizedAssetValue() check by exploiting calculation logic to seize 100% of position collateral regardless of debt size.",liquidation
Sherlock,Sentiment V2 (2024-08),High,Exploiter can always bypass LIQUIDATION_DISCOUNT and seize all collateral,"Liquidation discount mechanism can be circumvented, allowing liquidators to take all collateral rather than the intended discounted portion.",liquidation
Sherlock,Sentiment V2 (2024-08),High,No greater timestamps check in RedstoneCoreOracle,"Missing timestamp monotonicity check allows oracle updates with older data, enabling price manipulation through selective data submission.",oracle
Sherlock,Sentiment V2 (2024-08),High,Rounding error due to internal accounting allows stealing first depositors funds,"Share inflation attack through rounding errors in internal accounting lets early depositors steal from subsequent depositors.",share_inflation
Sherlock,Sentiment V2 (2024-08),High,Loss of users fund through share inflation attack in Pool.sol,"Classic ERC4626 vault inflation attack on Pool.sol where attacker manipulates price per share to steal depositor funds.",share_inflation
Sherlock,Cork Protocol (2024-08),High,Missing slippage protection when redeeming rewards from LV,"Lack of slippage protection on LV reward redemption exposes users to sandwich attacks and MEV extraction during withdrawal.",slippage
Sherlock,Cork Protocol (2024-08),High,Lack of slippage protection in VaultLib leads to MEV and user losses,"VaultLib operations execute without slippage bounds, allowing MEV bots to extract value from users through sandwich attacks.",slippage
Sherlock,Cork Protocol (2024-08),High,FlashSwapRouter assumes 1:1 exchange rate between RA and CT+DS causing fund loss,"Router incorrectly assumes parity between RA and CT+DS tokens, leading to incorrect swap calculations and direct fund loss for users.",exchange_rate
Sherlock,Cork Protocol (2024-08),High,FlashSwapRouter mistakenly transfers RA tokens to DS buyers causing LV holder losses,"Router sends RA tokens meant for liquidity vault to DS buyers due to accounting error, directly reducing LV holder value.",accounting_error
Sherlock,Cork Protocol (2024-08),High,PsmLib.repurchase() does not increase locked amount of RA,"Missing locked RA increment during repurchase allows withdrawal of RA that should be locked, leading to protocol insolvency.",accounting_error
Sherlock,Cork Protocol (2024-08),High,PsmLib.lvRedeemRaWithCtDs() does not decrease locked RA amount,"Redemption function fails to reduce locked RA counter, causing accounting mismatch that allows double-spending of locked reserves.",accounting_error
Sherlock,Cork Protocol (2024-08),High,Incorrect implementation of PsmLib.unsafeIssueToLv() function,"Unsafe issuance to LV has incorrect implementation causing tokens to be minted without proper backing, leading to insolvency risk.",accounting_error
Sherlock,Cork Protocol (2024-08),High,DsFlashSwap.emptyReserve() incorrectly always returns 0,"Reserve emptying function always returns 0 instead of actual reserve amount, breaking reserve management and causing fund loss.",accounting_error
Sherlock,Cork Protocol (2024-08),High,Incorrect psmRa in VaultLib._liquidatedLp() function,"Wrong RA amount passed to liquidated LP calculation causes incorrect distribution of funds during liquidation events.",liquidation
Sherlock,Cork Protocol (2024-08),High,VaultPoolLib::reserve() stores Pa incorrectly leaving funds untracked after expiry,"Incorrect storage of Protocol Asset in reserve function leaves funds untracked once the deposit expires, causing permanent fund loss.",stuck_funds
Sherlock,Cork Protocol (2024-08),High,Users redeeming with Ds in Psm will not decrease correct amount of locked Ra,"Ds redemption uses wrong locked RA calculation, allowing users to redeem more RA than intended, leading to insolvency.",accounting_error
Sherlock,Perpetual (2024-02),High,Instant arbitrage opportunity in OracleMaker,"OracleMaker can be instantly arbitraged by exploiting price update timing, allowing risk-free profit extraction from the maker pool.",oracle
Sherlock,Perpetual (2024-02),High,Two Pyth prices can be used in same transaction to attack LP pools,"Attacker uses two different Pyth oracle prices within a single transaction to exploit price discrepancy and drain LP pool funds.",oracle
Sherlock,Perpetual (2024-02),High,LP can instantly arbitrage and drain any Maker by updating Pyth price,"Permissionless Pyth price updates allow LPs to atomically update price and trade in same tx, draining maker through arbitrage.",oracle
Sherlock,Perpetual (2024-02),High,Funding fee rate calculated only on OracleMaker skew but applied across entire market,"Funding rate based solely on OracleMaker skew can be manipulated at low cost to generate extreme funding rates exploitable across all markets.",funding_rate
Sherlock,Perpetual (2024-02),High,Whale LPs can make admin risk control parameters ineffective,"Large LPs can circumvent protocol risk parameters by exploiting position sizing mechanics, rendering admin safety controls useless.",access_control
Sherlock,Perpetual (2024-02),High,Draining maker through funding fee manipulation,"Attacker generates extreme funding rate by manipulating OracleMaker skew, then collects outsized funding payments to drain the maker.",funding_rate
Sherlock,Perpetual (2024-02),High,Attackers can lock market funds and steal funds in the maker,"Market fund locking attack prevents normal transaction execution while attacker extracts value from the maker contract.",denial_of_service
Sherlock,Teller Finance (2024-04),High,Collateral tokens withdrawn by liquidateDefaultedLoanWithIncentive frozen in contract,"Liquidation function withdraws collateral but fails to transfer it to the liquidator, leaving tokens permanently locked in the contract.",stuck_funds
Sherlock,Teller Finance (2024-04),High,_getCollateralTokensAmountEquivalentToPrincipalTokens uses incorrect min/max for oracle prices,"Oracle price bounds are inverted (min used where max should be), enabling sandwich attacks to borrow with minimal collateral.",oracle
Sherlock,Teller Finance (2024-04),High,Burning shares prior to computing withdraw value locks earnings forever,"Share burn before value calculation uses deflated totalSupply, causing withdrawal to return less than entitled and locking remainder.",accounting_error
Sherlock,Teller Finance (2024-04),High,Sandwich attack can take most of interest earned within LenderCommitmentGroup,"MEV bots can sandwich deposit/withdraw around interest accrual events to extract majority of earned interest from the lending pool.",sandwich
Sherlock,Teller Finance (2024-04),High,Using slot0 to compute position price can be easily manipulated,"Uniswap V3 slot0 price used for collateral valuation is trivially manipulable via flash loans, enabling undercollateralized borrowing.",oracle
Sherlock,Teller Finance (2024-04),High,STANDARD_EXPANSION_FACTOR makes required collateral 1e18 times smaller than intended,"Collateral requirement divided by expansion factor instead of multiplied, making loans massively undercollateralized.",accounting_error
Sherlock,Teller Finance (2024-04),High,Liquidations in LenderCommitmentGroup do not include owed interest,"Liquidation calculation ignores accrued interest, allowing borrowers to default on interest payments without liquidation trigger.",liquidation
Sherlock,TITLES Publishing Protocol (2024-04),High,Attacker can mint whole supply of Work tokens for price of one token,"mintBatch function charges fee only once regardless of quantity, allowing attacker to mint entire token supply at minimal cost.",fee_bypass
Sherlock,TITLES Publishing Protocol (2024-04),High,Collection referrer share sent to wrong address - referrer gets collection referrer share,"Fee splitting logic sends collection referrer's portion to mint referrer due to variable naming error, causing permanent fee loss.",accounting_error
