source,contest,severity,title,description_excerpt,keyword_matched
sherlock,Arcadia,High,Reentrancy in flashAction() allows draining liquidity pools,"## Summary It is possible to drain a liquidity pool/creditor if the pool’s asset is an ERC777 token by triggering a reentrancy flow using flash actions.  ## Vulnerability Detail The following vulnerability describes a complex flow that allows draining any liquidity pool where the underlying asset is an ERC777 token. Before diving into the vulnerability, it is important to properly understand and highlight some concepts from Arcadia that are relevant in order to allow this vulnerability to take p",dutch+auction; reentrancy+callback/hook
code4rena,Cally (2022-05),High,getDutchAuctionStrike () will return an unfavourable output for seller ,"# Lines of code  https://github.com/code-423n4/2022-05-cally/blob/1849f9ee12434038aa80753266ce6a2f2b082c59/contracts/src/Cally.sol#L419   # Vulnerability details  ## Impact The protocol depends on the mentioned function decrementing to 0 or to the reserveStrike(if any is set by the seller of the option). After testing the efficiency of of getDutchAuctionStrike (), it will return a value lower than the reserveStrike 2-3hrs prior to the auctionEndTimestamp. Which is clearly unfavourable to a selle",dutch+auction
code4rena,Cally (2022-05),High,Strike price curve of `getDutchAuctionStrike` is not what users expect,# Lines of code  https://github.com/code-423n4/2022-05-cally/blob/1849f9ee12434038aa80753266ce6a2f2b082c59/contracts/src/Cally.sol#L399-L423   # Vulnerability details  Note: This submission contains links to a [private fork](https://github.com/sseefried/codearena-cally-2022-05) of the contest repo. User `code423n4` has been added as a collaborator in order to view.  ## Impact  Function `getDutchAuctionStrike` does not implement the function that Option buyers would expect. They probably expect t,dutch+auction
code4rena,Cally (2022-05),High,Inefficiency in the Dutch Auction due to lower duration,"# Lines of code  https://github.com/code-423n4/2022-05-cally/blob/1849f9ee12434038aa80753266ce6a2f2b082c59/contracts/src/Cally.sol#L406-L423   # Vulnerability details   The vulnerability or bug is in the implementation of the function getDutchAuctionStrike() The AUCTION_DURATION is defined as 24 hours, and consider that the dutchAuctionReserveStrike (or reserveStrike) will never be set to 0 by user.  Now if a vault is created with startingStrike value of 55 and reserveStrike of 13.5 , the auctio",dutch+auction
code4rena,Opensea Seaport (2022-05),High,Order partial fulfilling can be blocked by the first fulfiller,# Lines of code  https://github.com/code-423n4/2022-05-opensea-seaport/blob/4140473b1f85d0df602548ad260b1739ddd734a5/contracts/lib/OrderValidator.sol#L205-L212 https://github.com/code-423n4/2022-05-opensea-seaport/blob/4140473b1f85d0df602548ad260b1739ddd734a5/contracts/lib/AmountDeriver.sol#L99-L106   # Vulnerability details  DOS attack is possible as OrderValidator._validateOrderAndUpdateStatus sets order's numerator and denominator based on an arbitrary fulfiller provided input. When there is ,dutch+auction
code4rena,Infinity (2022-06),High,Overpayment of native ETH is not refunded to buyer,"# Lines of code  https://github.com/code-423n4/2022-06-infinity/blob/765376fa238bbccd8b1e2e12897c91098c7e5ac6/contracts/core/InfinityExchange.sol#L119-L121 https://github.com/code-423n4/2022-06-infinity/blob/765376fa238bbccd8b1e2e12897c91098c7e5ac6/contracts/core/InfinityExchange.sol#L1228-L1232   # Vulnerability details  `InfinityExchange` accepts payments in native ETH, but does not return overpayments to the buyer. Overpayments are likely in the case of auction orders priced in native ETH.  I",dutch+auction
code4rena,Infinity (2022-06),High,"user lose some fund whenever they call takeMultipleOneOrders() or takeOrders() to buy tokens with ETH, because the exact price of orders can change and users need to send extra ETH to make sure transaction don't fail and contract don't send back extra ETH",# Lines of code  https://github.com/code-423n4/2022-06-infinity/blob/765376fa238bbccd8b1e2e12897c91098c7e5ac6/contracts/core/InfinityExchange.sol#L296-L328 https://github.com/code-423n4/2022-06-infinity/blob/765376fa238bbccd8b1e2e12897c91098c7e5ac6/contracts/core/InfinityExchange.sol#L330-L364 https://github.com/code-423n4/2022-06-infinity/blob/765376fa238bbccd8b1e2e12897c91098c7e5ac6/contracts/core/InfinityExchange.sol#L1152-L1165   # Vulnerability details  ## Impact Order's currency can be `ET,dutch+auction
code4rena,Artgobblers (2022-09),High,Allowance isn't deleted when burning gobblers in mintLegendaryGobbler(),# Lines of code  https://github.com/code-423n4/2022-09-artgobblers/blob/d2087c5a8a6a4f1b9784520e7fe75afa3a9cbdbe/src/ArtGobblers.sol#L441 https://github.com/code-423n4/2022-09-artgobblers/blob/d2087c5a8a6a4f1b9784520e7fe75afa3a9cbdbe/src/ArtGobblers.sol#L880   # Vulnerability details  ## Impact Legendary gobblers can be minted for free. ## Proof of Concept A simple attack allows anyone with enough gobblers to pay for a legendary to get it for free  Step by step attack :  -Attacker has 69 gobbler,dutch+auction
code4rena,Escher (2022-12),High,Buys and refunds can get stuck forever if the parameters are not set sensibly in the LPDA,"# Lines of code  https://github.com/code-423n4/2022-12-escher/blob/main/src/minters/LPDA.sol#L117-L125 https://github.com/code-423n4/2022-12-escher/blob/main/src/minters/LPDA.sol#L63 https://github.com/code-423n4/2022-12-escher/blob/main/src/minters/LPDA.sol#L101   # Vulnerability details  ## Impact In the [LPDA]() contract, there is a function called `getPrice()` which returns the price of one token by taking into account the drop in price per second of the Dutch auction. It basically calculate",dutch+auction
code4rena,Escher (2022-12),High, Dutch auction getPrice() formula can lead to price reaching 0 and eventually reverting and locking the function.,# Lines of code  https://github.com/code-423n4/2022-12-escher/blob/main/src/minters/LPDA.sol#L124 https://github.com/code-423n4/2022-12-escher/blob/main/src/minters/LPDA.sol#L143 https://github.com/code-423n4/2022-12-escher/blob/main/src/minters/LPDA.sol#L63   # Vulnerability details  ## Impact In the function getPrice() the current price is calculated by taking the start price and subtracting the product of dropPersecond and time elapsed. (start price - (dropPreSecond * timeElapsed)).  The issu,dutch+auction
