source,severity,property_id,code_path,title,description_excerpt,keyword_matched
alloy_evm_fusaka,vulnerability,PROP-5a6a79d5-post-002,crates/evm/src/block/system_calls/mod.rs::apply_pre_execution_changes::L58-59,"The code executes blockhashes (EIP-2935) at line 58 before beacon roots (EIP-4788) at line 59, violating the required order beacon_roots < history_storage. EthBlockExecutor mirrors this incorrect order at lines 106-108.","Blocks processed with this implementation will have system calls in wrong order, causing consensus failures with clients following the correct specification order (beacon roots before history storage).",storage/proxy+delegatecall; consensus+fork/split; cache/index+collision; inclusion+proof/merkle
alloy_evm_fusaka,potential-vulnerability,PROP-5a6a79d5-inv-036,crates/evm/src/eth/env.rs::EvmEnv::for_eth_next::L124,Proof fails at line 124: next_block_excess_blob_gas_osaka() receives input.base_fee_per_gas (child's base fee from parameter) instead of header.base_fee_per_gas() (parent's base fee). Inconsistent with using parent's excess_blob_gas (L122) and blob_g,"If EIP-7918 (Osaka) blob gas calculation depends on base fee (e.g., for dynamic blob pricing), using child's pre-computed base fee instead of parent's base fee could cause consensus splits when validators compute different next-block blob parameters, or enable blob fee manipulation by proposers.",consensus+fork/split; KZG/blob+commitment
alloy_evm_fusaka,vulnerability,PROP-5a6a79d5-inv-008,crates/evm/src/eth/block.rs::execute_transaction_without_commit::L113-134,"Block executor validates regular gas limit (L119-127) but completely omits blob gas limit validation. Blob gas is accumulated (L152-154) without any check against MAX_BLOB_GAS_PER_BLOCK, allowing blocks to exceed consensus-mandated blob gas limits.","Attacker submits multiple blob transactions whose cumulative blob gas exceeds MAX_BLOB_GAS_PER_BLOCK. Block executor accepts all transactions, producing an invalid block that violates consensus rules and will be rejected by other nodes.",DoS/revert+gas_limit; consensus+fork/split; KZG/blob+commitment
c_kzg_4844_fusaka,vulnerability,PROP-57888860-inv-053,src/eip7594/eip7594.c::verify_cell_kzg_proof_batch::L802-951,Proof fails: validate_kzg_g1 (bytes.c:90) explicitly accepts point-at-infinity commitments without rejection. No additional infinity check exists before line 910 aggregation. Point-at-infinity contributes zero to weighted sum but corresponding proof ,"Attacker sends P2P data availability sample with commitment=0xc00000...(infinity) plus arbitrary cell data and proof. Batch verification accepts the infinity commitment (bytes.c:90), aggregates it into random linear combination where it contributes zero, while weighted proof remains. Invalid cell data passes verification because commitment term vanishes from pairing equation.",KZG/blob+commitment; P2P/gossip+validation
c_kzg_4844_fusaka,potential-vulnerability,PROP-6a4369e9-inv-037,src/eip7594/eip7594.c::verify_cell_kzg_proof_batch::L802-952,"The C function does not validate that input arrays (commitments_bytes, cell_indices, cells, proofs_bytes) actually have num_cells elements. Lines 838-840, 858, and 894-896 index/copy arrays assuming this length, causing out-of-bounds reads if a calle","A C/C++ Ethereum client or code using FFI calls verify_cell_kzg_proof_batch with num_cells larger than actual array lengths. The function reads out-of-bounds memory at lines 838-840 (cell_indices), 858 (commitments_bytes memcpy), and 894-896 (proofs_bytes), potentially using garbage data in cryptographic verification, causing incorrect acceptance/rejection of proofs, process crash, or memory discl",KZG/blob+commitment; JWT/auth+bypass; cache/index+collision; memory+safety/bounds
c_kzg_4844_fusaka,vulnerability,PROP-57888860-inv-001,src/eip7594/eip7594.c::compute_verify_cell_kzg_proof_batch_challenge::L423-427,"Challenge hash uses first num_commitments elements from original commitments_bytes array instead of deduplicated unique_commitments array. When duplicate commitments exist (e.g., [A,B,A,C]), hash incorrectly includes [A,B,A] instead of [A,B,C], allow","Attacker provides cells with commitments [A,B,A,C] vs [A,B,C,A]. Both deduplicate to [A,B,C] for verification, but hash different prefixes ([A,B,A] vs [A,B,C]), producing different Fiat-Shamir challenges despite identical cryptographic content, enabling selective forgery by searching for favorable challenge values.",KZG/blob+commitment; cache/index+collision
c_kzg_4844_fusaka,vulnerability,PROP-57888860-post-001,src/eip7594/recovery.c::recover_cells::L347-350,"The recovered polynomial coefficients are not validated to have degree < FIELD_ELEMENTS_PER_BLOB. While the encoding side (eip7594.c:94-96) asserts the upper half coefficients are zero, recover_cells computes a full FIELD_ELEMENTS_PER_EXT_BLOB coeffi","An attacker crafts malicious cells that produce a recovered polynomial with non-zero coefficients in the upper half. When recover_cells_and_kzg_proofs recomputes proofs (eip7594.c:264), compute_fk20_cell_proofs expects only FIELD_ELEMENTS_PER_BLOB coefficients but receives incorrect data, producing invalid proofs that could bypass downstream validation or cause state inconsistencies.",KZG/blob+commitment; JWT/auth+bypass
c_kzg_4844_fusaka,vulnerability,PROP-57888860-inv-003,src/eip7594/eip7594.c::verify_cell_kzg_proof_batch::L877,Challenge computation at line 877 passes commitments_bytes (original array with duplicates) instead of unique_commitments (deduplicated array) to compute_verify_cell_kzg_proof_batch_challenge. This causes the challenge hash to include the first num_c,"Attacker crafts two P2P messages with identical unique commitments but different orderings (e.g., [C_A, C_A, C_B] vs [C_B, C_A, C_A]). The challenge function hashes different commitment sequences, generating different challenge values r1 ≠ r2 for semantically equivalent verification contexts, potentially accepting invalid proofs.",KZG/blob+commitment; P2P/gossip+validation; cache/index+collision
grandine_fusaka,vulnerability,PROP-6a4369e9-inv-018,fork_choice_store/src/store.rs::validate_data_column_sidecar_internal::L2185-2192,"Inclusion proof verification is skipped for ExecutionLayer origin (line 2185), allowing compromised/buggy EL to send data column sidecars with invalid inclusion proofs. Blob sidecars verify inclusion proofs unconditionally (line 1956), proving this s","Compromised execution layer sends data column sidecar with kzg_commitments that don't match block body_root. CL accepts it because inclusion proof check is skipped for EL origin, potentially serving invalid data to peers or causing consensus divergence.",consensus+fork/split; KZG/blob+commitment; P2P/gossip+validation; inclusion+proof/merkle
grandine_fusaka,potential-vulnerability,PROP-6a4369e9-asm-002,eth1_api/src/auth.rs::Auth::headers::L96-98,"JWT authentication is optional: auth.headers() returns Ok(None) when no jwt_secret is configured (auth.rs:96-98), yet Engine API calls proceed without authentication. Blobs from unauthenticated EL connections are marked ExecutionLayer origin and skip","Operator starts Grandine without --jwt-secret flag. Attacker performs MITM or DNS poisoning on localhost EL connection, serves malicious blobs via engine_getBlobsV1. Blobs skip cryptographic verification and are accepted into fork choice.",consensus+fork/split; KZG/blob+commitment; JWT/auth+bypass
