source,contest,severity,title,description_excerpt,pattern_matched
CodeHawks,Gamma - Liquidity Management,High,Wrong refundExecutionFee in _handleReturn,"Refund execution fee logic uses wrong argument (counter vs depositId), causing fee refund to wrong recipient",callback
CodeHawks,Gamma - Liquidity Management,High,Loss of fee refund due to premature state deletion,"_handleReturn deletes state before refund logic executes, losing execution fee refund data",callback
CodeHawks,Gamma - Liquidity Management,High,Incorrect PnL attribution on withdrawal,"Users withdrawing while position is in loss get charged entire PnL instead of proportional amount",settlement
CodeHawks,Gamma - Liquidity Management,High,Subtracting position fee in net value leads to incorrect share allocation,"Position fee subtracted incorrectly from net value causes wrong share calculation for depositors",price_manipulation
CodeHawks,Regnum Aurum Acquisition Corp,High,Incorrect decimal handling in Auction::buy() leads to massive overpayment,"Decimal mismatch in auction buy function causes users to pay orders of magnitude more than intended for ZENO tokens",auction
CodeHawks,Regnum Aurum Acquisition Corp,High,Reward manipulation vulnerability in StabilityPool,"Attackers can manipulate reward distribution by withdrawing dust amounts multiple times from StabilityPool",reward_manipulation
CodeHawks,Regnum Aurum Acquisition Corp,High,Users can borrow more assets than deposited as collateral,"Missing or incorrect collateral ratio check allows borrowing beyond collateral value",oracle
CodeHawks,Regnum Aurum Acquisition Corp,High,Attackers get most rewards by withdrawing dust from StabilityPool,"Repeated dust withdrawals trigger reward recalculation, allowing attacker to claim disproportionate RAACToken rewards",reward_manipulation
CodeHawks,Regnum Aurum Acquisition Corp,High,Double voting power via lock and increase,"Users can double voting power and veToken amount by combining lock and increase operations",token_integration
CodeHawks,Regnum Aurum Acquisition Corp,High,Scaled Allowance Mismatch Enables Over-Approval Exploit,"Mismatch between scaled and unscaled allowance enables spending more tokens than approved",approval
CodeHawks,Regnum Aurum Acquisition Corp,High,BaseGauge users can claim rewards without staking,"Missing stake requirement allows claiming gauge rewards without any staked position",reward_manipulation
CodeHawks,Regnum Aurum Acquisition Corp,High,Gauge reward system can be gamed with repeated stake/withdraw,"Repeatedly staking and withdrawing allows gaming the gauge reward distribution mechanism",reward_manipulation
CodeHawks,Regnum Aurum Acquisition Corp,High,Critical Economic Design Flaw in ZENO Zero-Coupon Bond,"Zero-coupon bond implementation guarantees user losses due to fundamental economic design error",auction
CodeHawks,Regnum Aurum Acquisition Corp,High,Treasury Balance Tracking Bypass in FeeCollector,"Direct fee transfers bypass balance tracking, breaking the fee distribution system",token_integration
CodeHawks,Zaros - Part 2,High,Incorrect Credit Capacity Validation Enables Locked Collateral Drainage,"Faulty validation in VaultRouterBranch.redeem allows draining locked collateral beyond credit capacity",settlement
CodeHawks,Zaros - Part 2,High,Incorrect calculation allows attacker to mint any amount of usdz,"Calculation error in withdrawUsdTokenFromMarket enables unlimited minting of protocol stablecoin",price_manipulation
CodeHawks,Zaros - Part 2,High,The protocol is insolvent,"Fundamental accounting errors in debt and credit tracking cause protocol-wide insolvency",settlement
CodeHawks,Zaros - Part 1,High,Draining the protocol fully,"Critical vulnerability allows complete drainage of protocol funds through position manipulation",flash_loan
CodeHawks,Zaros - Part 1,High,Wrong parameter in deductAccountMargin causes excess margin withdrawal,"Incorrect parameter passed results in excess margin withdrawal beyond intended amount",settlement
CodeHawks,QuantAMM,High,Critical: Malicious user can delete all Users Deposited Liquidity,"Attacker can delete other users' deposited liquidity positions entirely",token_integration
CodeHawks,QuantAMM,High,Fee Evasion via LP Token Transfer Resets Deposit Value,"Transferring LP tokens resets deposit tracking, enabling complete fee evasion",token_integration
CodeHawks,QuantAMM,High,Donations are sandwichable to steal funds from LP,"Lack of sandwich protection on donation mechanism allows MEV extraction from liquidity providers",flash_loan
CodeHawks,Beanstalk: The Finale,High,LibChainlinkOracle::getTokenPrice always returns instantaneous prices,"Oracle always returns spot prices instead of TWAP, making it vulnerable to manipulation",oracle
CodeHawks,Beanstalk: The Finale,High,LibUsdOracle will compromise peg due to wrong price and DoS,"Incorrect USD oracle price calculation compromises stablecoin peg mechanism",oracle
CodeHawks,Beanstalk: The Finale,High,LibUsdOracle returns wrong price for Uniswap Oracle,"Uniswap oracle integration returns incorrect prices, affecting all price-dependent operations",oracle
CodeHawks,Beanstalk: The Finale,High,Replay attack on redeemDepositsAndInternalBalances,"Missing transaction storage enables signature replay attack on deposit redemption",reentrancy
CodeHawks,Beanstalk: The Finale,High,Incorrect calculation of beanUsdPrice in LibEvaluate::evalPrice,"Price evaluation function miscalculates bean/USD price affecting protocol economics",oracle
CodeHawks,Beanstalk: The Finale,High,Refunding ETH exploitable via Tractor for arbitrary function calls,"ETH refund mechanism in Tractor component allows calling arbitrary functions on behalf of other users",callback
CodeHawks,Tadle,High,TokenManager - Unlimited withdraw,"Missing withdrawal limits allow draining all tokens from TokenManager contract",approval
CodeHawks,Tadle,High,Malicious user can drain protocol by bypassing ASK offer abortion in Turbo mode,"Validation bypass in Turbo mode allows draining protocol by manipulating ASK offer abortion flow",settlement
CodeHawks,Tadle,High,Missing abort status check allows bid taker to steal funds,"Lack of abort status verification enables bid takers to steal funds from aborted offers",settlement
CodeHawks,Tadle,High,Fund Withdrawal Flaw allows users to avoid settlement obligations,"Pre-market withdrawal flaw lets users extract funds while avoiding their settlement obligations",settlement
CodeHawks,BeedleFi - Oracle free perpetual lending,High,Lender contract drained by re-entrancy in repay,"Missing reentrancy guard on repay function allows draining lender contract via recursive calls",reentrancy
CodeHawks,BeedleFi - Oracle free perpetual lending,High,Lender contract drained by re-entrancy in setPool,"Reentrancy in setPool function enables draining of lender contract funds",reentrancy
CodeHawks,BeedleFi - Oracle free perpetual lending,High,Sandwich attack to steal all ERC-20 tokens in Fees contract,"Fees contract vulnerable to sandwich attack allowing theft of accumulated protocol fees",flash_loan
CodeHawks,BeedleFi - Oracle free perpetual lending,High,Borrower can use Refinance to cancel auctions indefinitely,"Refinance function abuse cancels liquidation auctions, preventing loan liquidation forever",auction
CodeHawks,BeedleFi - Oracle free perpetual lending,High,Malicious user takes over loan for free via wrong access control in buyLoan,"Incorrect access control in buyLoan allows taking over loans without owning a lending pool",approval
CodeHawks,BeedleFi - Oracle free perpetual lending,High,Lender can Sandwich borrower to seize collateral,"Lender front-runs borrower transaction to change pool terms and immediately seize collateral",flash_loan
CodeHawks,BeedleFi - Oracle free perpetual lending,High,Pool lender drains another user pool by abusing buyLoan,"buyLoan function can be exploited to fully drain another lender's pool balance",approval
CodeHawks,Steadefi,High,Withdraw function provides more funds to withdrawer,"Incorrect withdrawal calculation allows extracting more funds than entitled from strategy vault",settlement
CodeHawks,Steadefi,High,Incorrect slippage protection on deposits,"Faulty slippage checks on deposits allow value extraction through price manipulation during deposit",price_manipulation
CodeHawks,Steadefi,High,Users withdraw more assets when mintFee was called long ago,"Stale mintFee timing creates accounting discrepancy allowing excess asset withdrawal",price_manipulation
CodeHawks,DittoETH,High,Users can avoid liquidation while under primary liquidation ratio,"Edge case on last short record prevents liquidation even when position is undercollateralized",oracle
CodeHawks,DittoETH,High,Owner of bad ShortRecord front-runs flagShort and liquidateSecondary,"Front-running liquidation calls prevents enforcement of liquidation on undercollateralized shorts",flash_loan
CodeHawks,DittoETH,High,Margin callers drain TAPP during liquidation via gas cost manipulation,"Liquidators manipulate gas costs through shortHintArray to drain the Treasury Asset Protection Pool",callback
CodeHawks,The Standard,High,Rewards can be drained because of lack of access control,"Missing access control on reward distribution allows unauthorized draining of reward pool",approval
CodeHawks,The Standard,High,Malicious users honeypot others by minting all EURO tokens,"Attacker mints maximum EURO against vault collateral to trap other users' collateral",token_integration
CodeHawks,stake.link,High,User can steal transferred and bridged reSDL lock via approval,"Stale approval on transferred reSDL lock allows previous owner to reclaim bridged tokens",approval
CodeHawks,stake.link,High,Not updating rewards in handleIncomingUpdate leads to incorrect calculations,"Missing reward update in cross-chain message handler causes incorrect reward accounting",callback
CodeHawks,Fjord Token Staking,High,Loss of funds due to incorrect state updates while unstaking,"Wrong state update order during unstake causes permanent loss of user funds",reentrancy
CodeHawks,Sablier,High,Precision and Rounding Error in Flow.stream() Token Streaming,"Rounding errors in streaming rate calculations cause cumulative token loss over time",price_manipulation
Immunefi,Enzyme Finance,Critical,Price Oracle Manipulation via IDLE Token Logic,"Exploiting IDLE token logic to manipulate Enzyme vault pricing without traditional AMM manipulation; ~$400k at risk",oracle
Immunefi,Wormhole,Critical,Uninitialized Proxy allows self-destruct and fund theft,"Wormhole implementation not initialized, allowing attacker to gain control and self-destruct bridge contract; $10M bounty",token_integration
Immunefi,Polygon,Critical,Signature Malleability enables $22.3M double-spend,"Signature replay allowing deposit of $100k and reuse of signatures to withdraw $22.3M; $2M bounty",reentrancy
Immunefi,Aurora,Critical,Infinite Spend via NEP-141 token exploitation,"Improper input sanitization on NEP-141 tokens enables infinite spending; $6M bounty paid",approval
Immunefi,Optimism,Critical,Infinite Money Duplication in OVM 2.0,"Logic exploit in OVM 2.0 allows unlimited ETH minting on Optimism L2",token_integration
Immunefi,Fei Protocol,Critical,Flash Loan Vulnerability draining 60000 ETH,"Flash loan attack vector enabling drainage of 60000 ETH from Fei Protocol bonding curve via Uniswap pool interaction",flash_loan
Immunefi,Notional Finance,Critical,Double Counting Free Collateral enables liquidity drainage,"Factor-of-two miscalculation in collateral accounting allows draining protocol liquidity",oracle
Immunefi,The Graph,Critical,Rounding Error enabling loss of user funds,"Two rounding errors in Graph ecosystem enabling theft of user funds or unclaimed yield; $290k bounty",price_manipulation
Immunefi,Raydium,Critical,Tick Manipulation in CLMM pools,"Critical tick manipulation vulnerability in Raydium concentrated liquidity pools enabling price boundary exploitation",price_manipulation
Immunefi,Beanstalk,High,Logic Error enabling asset theft from approved accounts,"Improper input validation in Token Facet allows stealing assets from accounts that granted approvals",approval
Immunefi,Sense Finance,High,Access Control Issue allows unauthorized oracle updates,"Missing privilege check enables unauthorized updates to oracle data affecting protocol pricing",oracle
Immunefi,Balancer,High,Rounding Error in Boosted Pools,"Logic error in Balancer Boosted Pools causes rounding-based value extraction",price_manipulation
Immunefi,Balancer,High,DoS via Flash Loan exploitation of double entry-point tokens,"Flash loans with double entry-point tokens cause denial of service in Balancer pools",flash_loan
Immunefi,88MPH,High,Theft of Unclaimed MPH Rewards via immediate vesting withdrawal,"Exploit allows immediate withdrawal of vesting tokens meant to be locked, draining reward pool",reward_manipulation
RektNews,Penpie Finance,Critical,Reentrancy in batchHarvestMarketRewards via fake Pendle Market,"Missing nonReentrant modifier allows reentrancy through fake Pendle Market callback to manipulate reward calculations; $27M lost",reentrancy
RektNews,Radiant Capital,Critical,Multi-sig threshold exploit enabling pool drainage,"Attacker gained control of 3/11 signers to transfer ownership and drain lending pools across BSC and Arbitrum; $53M lost",approval
RektNews,Abracadabra,Critical,Solvency check bypass via cook() function action reset,"Action sequencing in cook() allows borrowing without collateral verification by resetting needsSolvencyCheck flag; $1.8M lost",settlement
